Index,Onshore/Offshore
160,ONSHORE-OFFSHORE
161,ONSHORE-OFFSHORE
162,ONSHORE-OFFSHORE
163,ONSHORE-OFFSHORE
164,ONSHORE-OFFSHORE
165,ONSHORE-OFFSHORE
166,ONSHORE-OFFSHORE
167,OFFSHORE
168,ONSHORE-OFFSHORE
169,ONSHORE-OFFSHORE
170,ONSHORE-OFFSHORE
171,ONSHORE-OFFSHORE
172,ONSHORE-OFFSHORE
173,ONSHORE-OFFSHORE
174,ONSHORE-OFFSHORE
175,OFFSHORE
176,ONSHORE-OFFSHORE
177,ONSHORE-OFFSHORE
178,ONSHORE-OFFSHORE
179,ONSHORE-OFFSHORE
180,ONSHORE-OFFSHORE
181,ONSHORE-OFFSHORE
182,OFFSHORE
183,ONSHORE-OFFSHORE
184,ONSHORE-OFFSHORE
185,ONSHORE-OFFSHORE
186,OFFSHORE
187,ONSHORE-OFFSHORE
188,OFFSHORE
189,OFFSHORE
190,ONSHORE-OFFSHORE
191,ONSHORE-OFFSHORE
192,ONSHORE-OFFSHORE
193,ONSHORE-OFFSHORE
194,ONSHORE-OFFSHORE
195,ONSHORE-OFFSHORE
196,ONSHORE-OFFSHORE
197,ONSHORE-OFFSHORE
198,ONSHORE-OFFSHORE
199,ONSHORE-OFFSHORE
200,ONSHORE-OFFSHORE
201,ONSHORE-OFFSHORE
202,ONSHORE-OFFSHORE
203,ONSHORE-OFFSHORE
204,ONSHORE-OFFSHORE
205,ONSHORE-OFFSHORE
206,ONSHORE-OFFSHORE
207,ONSHORE-OFFSHORE
208,ONSHORE-OFFSHORE
209,ONSHORE-OFFSHORE
210,ONSHORE-OFFSHORE
211,ONSHORE-OFFSHORE
212,ONSHORE-OFFSHORE
213,ONSHORE-OFFSHORE
214,ONSHORE-OFFSHORE
215,ONSHORE-OFFSHORE
216,ONSHORE-OFFSHORE
217,ONSHORE-OFFSHORE
218,OFFSHORE
219,ONSHORE-OFFSHORE
220,OFFSHORE
221,ONSHORE-OFFSHORE
222,OFFSHORE
223,ONSHORE-OFFSHORE
224,ONSHORE-OFFSHORE
225,ONSHORE-OFFSHORE
226,ONSHORE-OFFSHORE
227,ONSHORE-OFFSHORE
228,ONSHORE-OFFSHORE
229,ONSHORE-OFFSHORE
230,ONSHORE-OFFSHORE
231,OFFSHORE
232,ONSHORE-OFFSHORE
233,ONSHORE-OFFSHORE
234,ONSHORE-OFFSHORE
235,ONSHORE-OFFSHORE
236,OFFSHORE
237,ONSHORE-OFFSHORE
238,ONSHORE-OFFSHORE
239,OFFSHORE
240,ONSHORE-OFFSHORE
241,ONSHORE-OFFSHORE
242,ONSHORE-OFFSHORE
243,ONSHORE-OFFSHORE
244,ONSHORE-OFFSHORE
245,ONSHORE-OFFSHORE
246,ONSHORE-OFFSHORE
247,ONSHORE-OFFSHORE
248,ONSHORE-OFFSHORE
249,OFFSHORE
250,OFFSHORE
251,ONSHORE-OFFSHORE
252,ONSHORE-OFFSHORE
253,ONSHORE-OFFSHORE
254,ONSHORE-OFFSHORE
255,ONSHORE-OFFSHORE
256,ONSHORE-OFFSHORE
257,ONSHORE-OFFSHORE
258,OFFSHORE
259,ONSHORE-OFFSHORE
260,ONSHORE-OFFSHORE
261,ONSHORE-OFFSHORE
262,ONSHORE-OFFSHORE
263,ONSHORE-OFFSHORE
264,OFFSHORE
265,ONSHORE-OFFSHORE
266,ONSHORE-OFFSHORE
267,ONSHORE-OFFSHORE
268,ONSHORE-OFFSHORE
269,ONSHORE-OFFSHORE
270,ONSHORE-OFFSHORE
271,ONSHORE-OFFSHORE
272,OFFSHORE
273,ONSHORE-OFFSHORE
274,OFFSHORE
275,ONSHORE-OFFSHORE
276,ONSHORE-OFFSHORE
277,OFFSHORE
